gameid,playouts,playerindex,wondername,boardGold,CIVIL,MILITARY,SCIENCE,TRADE,GUILD,WONDER,GOLD
67,10,2,AlexandriaA,0,27,-1,16,0,0,3,0
67,10,1,RhodosA,13,10,10,5,3,0,3,4
67,10,0,GizahA,6,3,-1,5,4,13,8,2
60,10,1,RhodosB,8,24,12,5,0,0,3,2
60,10,2,AlexandriaA,11,10,0,18,1,0,10,3
60,10,0,GizahA,8,11,6,1,3,4,15,2
31,10,0,RhodosB,20,17,-1,1,8,14,3,6
31,10,2,GizahB,3,27,8,2,0,5,3,1
31,10,1,AlexandriaA,4,8,9,5,0,0,10,1
61,10,1,EphesosB,28,16,0,0,3,12,10,9
61,10,2,GizahA,0,25,2,2,0,0,15,0
61,10,0,AlexandriaA,7,2,14,10,2,6,3,2
87,10,2,GizahB,4,12,18,10,2,0,8,1
87,10,1,RhodosA,14,23,4,5,0,8,3,4
87,10,0,AlexandriaB,5,14,-4,5,5,10,0,1
22,10,2,GizahA,0,14,16,4,3,6,3,0
22,10,1,EphesosA,3,13,6,10,2,7,3,1
22,10,0,AlexandriaA,8,13,-4,26,0,0,0,2
144,20,1,AlexandriaA,8,28,10,2,0,0,3,2
144,20,0,EphesosB,27,0,-2,25,2,5,5,9
144,20,2,RhodosA,3,17,4,5,2,0,3,1
88,10,2,RhodosB,16,27,14,1,0,0,3,5
88,10,1,GizahB,9,15,8,0,5,0,13,3
88,10,0,EphesosB,7,13,-4,21,0,5,0,2
32,10,0,RhodosA,10,18,10,4,0,7,0,3
32,10,2,AlexandriaA,0,18,-1,13,0,0,3,0
32,10,1,GizahB,5,6,3,8,0,5,8,1
23,10,0,GizahA,18,17,12,1,4,0,15,6
23,10,1,RhodosA,1,2,10,16,3,11,3,0
23,10,2,AlexandriaA,8,29,-4,2,0,6,3,2
145,20,1,GizahA,6,20,8,2,0,4,8,2
145,20,0,RhodosB,13,0,12,16,8,3,0,4
145,20,2,AlexandriaA,1,35,-4,1,2,4,3,0
46,10,1,EphesosA,9,8,17,1,2,8,10,3
46,10,2,RhodosA,7,35,-2,5,1,0,3,2
46,10,0,AlexandriaA,13,8,3,16,0,4,0,4
89,10,1,AlexandriaB,4,20,11,9,0,5,7,1
89,10,2,EphesosB,10,13,9,13,3,0,10,3
89,10,0,RhodosB,25,10,-2,1,11,12,0,8
232,40,2,EphesosB,15,31,17,2,0,0,10,5
232,40,0,GizahA,13,10,-3,16,0,14,3,4
232,40,1,AlexandriaA,8,6,4,2,2,4,3,2
47,10,1,EphesosA,19,21,4,10,0,9,3,6
47,10,2,RhodosA,12,15,17,4,1,0,3,4
47,10,0,GizahA,9,11,-3,10,6,9,3,3
33,10,0,EphesosA,28,6,18,1,11,8,0,9
33,10,2,GizahA,4,17,5,2,0,8,8,1
33,10,1,AlexandriaB,0,18,-5,10,0,8,7,0
453,160,0,GizahB,2,0,2,10,3,19,20,0
453,160,1,AlexandriaA,11,29,2,2,0,4,10,3
453,160,2,RhodosB,8,16,14,8,2,0,7,2
34,10,1,RhodosA,3,9,16,18,0,6,3,1
34,10,2,EphesosB,3,19,6,1,0,5,10,1
34,10,0,GizahA,26,22,-4,2,7,0,0,8
146,20,0,EphesosB,13,14,8,10,3,7,0,4
146,20,2,GizahB,1,10,14,10,0,0,8,0
146,20,1,AlexandriaB,7,23,-6,8,0,4,0,2
167,20,2,EphesosA,1,10,7,18,3,0,3,0
167,20,1,RhodosB,5,20,7,10,0,0,0,1
167,20,0,AlexandriaB,15,10,-2,2,4,0,7,5
24,10,2,GizahA,4,14,14,5,0,0,8,1
24,10,0,EphesosA,13,3,8,10,6,4,3,4
24,10,1,RhodosB,5,30,-6,1,0,8,3,1
90,10,0,RhodosB,23,22,2,4,5,3,3,7
90,10,2,AlexandriaA,4,14,1,13,0,5,10,1
90,10,1,GizahA,5,8,15,8,2,0,3,1
35,10,1,AlexandriaA,6,29,15,2,0,6,3,2
35,10,2,EphesosB,3,13,5,5,0,17,10,1
35,10,0,RhodosA,26,2,-2,8,7,5,3,8
91,10,2,GizahA,5,19,2,13,0,8,3,1
91,10,1,AlexandriaA,3,16,13,13,0,0,3,1
91,10,0,EphesosB,29,15,1,0,4,4,2,9
36,10,2,AlexandriaA,10,13,16,8,0,4,3,3
36,10,1,GizahB,5,33,-2,1,0,0,8,1
36,10,0,EphesosB,9,9,-2,10,4,10,5,3
92,10,1,RhodosB,2,16,17,16,2,0,0,0
92,10,0,EphesosA,30,19,-3,1,5,6,10,10
92,10,2,AlexandriaB,4,20,4,5,0,11,7,1
147,20,2,RhodosB,13,34,3,1,0,0,7,4
147,20,1,AlexandriaB,4,21,8,16,0,0,0,1
147,20,0,GizahA,11,0,1,9,6,11,15,3
48,10,1,AlexandriaB,2,26,6,13,0,0,0,0
48,10,2,GizahB,3,23,0,1,1,0,13,1
48,10,0,EphesosA,17,6,12,2,0,5,3,5
49,10,1,GizahB,0,37,1,2,0,0,8,0
49,10,0,RhodosA,9,8,7,18,6,0,3,3
49,10,2,AlexandriaB,5,10,8,5,0,12,7,1
37,10,2,RhodosA,10,24,15,4,0,0,10,3
37,10,0,GizahB,6,3,2,10,2,10,3,2
37,10,1,AlexandriaB,5,17,1,2,0,4,7,1
50,10,0,RhodosA,19,13,10,4,7,5,0,6
50,10,1,AlexandriaA,9,16,12,0,0,8,3,3
50,10,2,EphesosA,2,22,-4,16,1,0,3,0
168,20,0,GizahB,6,5,-1,47,0,0,3,2
168,20,1,AlexandriaA,12,33,-1,4,1,0,10,4
168,20,2,EphesosA,3,13,10,4,0,2,10,1
51,10,1,GizahA,9,30,7,5,0,8,3,3
51,10,0,EphesosA,17,7,-4,13,3,16,3,5
51,10,2,RhodosA,2,18,13,2,3,0,3,0
52,10,2,RhodosB,4,30,10,0,0,6,0,1
52,10,0,GizahB,12,7,-2,5,1,11,3,4
52,10,1,AlexandriaB,2,11,4,5,1,0,7,0
171,20,0,EphesosB,0,12,10,2,2,26,2,0
171,20,2,RhodosB,3,12,14,18,0,6,0,1
171,20,1,GizahB,19,31,-6,8,0,0,3,6
53,10,1,AlexandriaB,9,26,6,1,0,4,7,3
53,10,0,EphesosB,12,7,12,13,8,0,0,4
53,10,2,GizahB,4,7,0,13,0,0,13,1
204,40,1,RhodosA,1,23,17,2,0,8,3,0
204,40,2,EphesosB,5,13,4,16,0,0,10,1
204,40,0,AlexandriaA,19,13,-3,2,3,8,10,6
172,20,2,AlexandriaA,5,25,6,2,0,0,10,1
172,20,1,GizahA,0,13,5,4,0,9,3,0
172,20,0,RhodosA,8,2,7,8,0,10,3,2
68,10,1,RhodosB,8,35,12,0,0,0,7,2
68,10,0,AlexandriaB,18,9,3,13,5,13,0,6
68,10,2,GizahB,1,11,1,26,0,0,8,0
148,20,1,GizahA,5,29,14,9,0,0,8,1
148,20,0,EphesosA,17,12,-2,10,1,13,3,5
148,20,2,RhodosA,3,11,6,4,6,1,3,1
179,20,0,AlexandriaA,26,9,12,2,7,6,3,8
179,20,2,RhodosB,14,28,-3,13,0,0,3,4
179,20,1,EphesosB,10,18,5,4,0,5,10,3
156,20,0,RhodosB,22,8,9,1,5,12,3,7
156,20,1,GizahA,5,19,12,10,0,0,3,1
156,20,2,EphesosB,3,24,-5,5,0,8,10,1
101,20,1,AlexandriaB,9,14,-1,18,0,4,7,3
101,20,2,GizahB,6,17,15,2,2,0,0,2
101,20,0,RhodosA,8,13,2,5,2,0,3,2
173,20,0,GizahA,0,10,1,26,1,7,3,0
173,20,2,EphesosA,14,18,4,5,0,0,10,4
173,20,1,AlexandriaA,6,13,9,2,0,0,10,2
157,20,0,RhodosB,8,17,8,5,6,5,3,2
157,20,2,AlexandriaB,2,7,11,5,0,11,7,0
157,20,1,EphesosA,6,20,-3,13,0,3,3,2
169,20,1,GizahA,0,20,15,5,3,0,8,0
169,20,0,RhodosB,17,0,2,13,6,17,0,5
169,20,2,AlexandriaA,7,35,1,2,0,0,3,2
174,20,1,GizahB,4,30,-4,1,2,6,8,1
174,20,2,RhodosB,8,15,16,10,0,0,0,2
174,20,0,EphesosA,27,2,6,2,4,6,10,9
454,160,1,RhodosB,6,20,10,10,0,0,3,2
454,160,0,EphesosB,24,6,-2,1,4,17,10,8
454,160,2,AlexandriaA,6,13,4,13,0,0,3,2
110,20,1,EphesosA,5,30,10,5,2,5,0,1
110,20,2,RhodosB,6,11,7,13,0,0,0,2
110,20,0,AlexandriaB,16,8,-1,9,4,6,0,5
102,20,2,EphesosA,12,15,9,4,3,6,10,4
102,20,0,RhodosA,15,6,4,10,5,16,3,5
102,20,1,AlexandriaA,7,26,3,2,0,5,10,2
170,20,1,RhodosB,5,23,16,1,0,6,3,1
170,20,2,AlexandriaB,13,13,1,10,0,0,7,4
170,20,0,EphesosB,13,8,-1,2,3,9,2,4
111,20,0,RhodosB,21,19,6,13,4,0,3,7
111,20,1,EphesosA,8,11,6,4,0,12,10,2
111,20,2,GizahB,6,21,6,5,0,0,8,2
149,20,0,RhodosA,23,6,2,10,7,12,3,7
149,20,1,AlexandriaA,5,17,15,2,0,0,10,1
149,20,2,EphesosA,7,25,1,9,2,0,3,2
175,20,0,EphesosA,9,17,-3,9,0,17,3,3
175,20,2,RhodosB,6,8,16,5,0,6,7,2
175,20,1,AlexandriaB,8,24,3,13,0,0,0,2
180,20,0,GizahB,25,6,11,10,0,16,0,8
180,20,1,EphesosA,3,31,-5,4,4,0,10,1
180,20,2,AlexandriaA,5,14,6,1,3,3,10,1
158,20,2,RhodosA,9,20,14,9,1,0,3,3
158,20,0,AlexandriaB,10,17,8,9,0,4,0,3
158,20,1,GizahB,12,14,-4,10,3,0,8,4
176,20,2,GizahA,5,18,14,13,1,0,8,1
176,20,1,RhodosB,2,14,9,10,3,6,7,0
176,20,0,AlexandriaA,18,11,-5,4,0,11,3,6
103,20,1,RhodosA,8,24,15,1,0,2,3,2
103,20,0,GizahA,15,5,2,1,9,16,3,5
103,20,2,EphesosA,5,26,1,10,0,0,0,1
181,20,1,GizahA,4,14,4,16,0,4,8,1
181,20,2,RhodosA,4,22,10,0,3,0,10,1
181,20,0,AlexandriaB,11,12,-2,13,0,12,0,3
159,20,0,AlexandriaB,33,5,16,2,8,9,0,11
159,20,2,GizahA,5,24,-3,10,0,0,15,1
159,20,1,EphesosB,2,12,3,8,0,4,10,0
288,40,0,GizahA,20,9,8,13,5,0,8,6
288,40,1,RhodosB,4,21,14,1,0,0,7,1
288,40,2,EphesosB,10,21,-4,13,0,0,2,3
112,20,1,GizahB,10,12,5,25,2,0,8,3
112,20,2,AlexandriaA,14,20,15,2,3,0,3,4
112,20,0,EphesosB,7,11,-2,9,1,14,0,2
182,20,1,EphesosB,3,24,5,5,0,6,10,1
182,20,2,RhodosB,5,20,15,2,0,0,3,1
182,20,0,AlexandriaB,28,5,-2,16,4,5,0,9
150,20,2,AlexandriaB,5,24,13,1,0,11,7,1
150,20,1,GizahB,7,20,-5,10,3,0,13,2
150,20,0,RhodosA,14,5,6,13,2,2,3,4
25,10,0,EphesosA,18,22,-3,1,8,5,3,6
25,10,2,RhodosA,2,13,14,5,0,0,10,0
25,10,1,AlexandriaB,8,11,7,9,0,4,7,2
26,10,1,GizahA,5,19,12,4,0,0,15,1
26,10,2,AlexandriaB,3,27,6,1,3,0,7,1
26,10,0,RhodosA,7,9,0,2,1,17,3,2
160,20,2,AlexandriaB,15,21,3,10,0,7,7,5
160,20,1,EphesosA,5,23,10,4,0,0,10,1
160,20,0,GizahA,19,6,5,2,8,1,3,6
183,20,1,EphesosB,9,17,9,13,0,0,5,3
183,20,2,RhodosB,0,27,5,5,0,3,3,0
183,20,0,GizahB,23,11,-2,4,4,11,0,7
151,20,0,EphesosA,23,13,8,4,3,18,3,7
151,20,2,AlexandriaB,8,20,15,1,0,0,7,2
151,20,1,GizahB,0,17,-5,21,0,6,3,0
327,80,0,AlexandriaB,29,4,6,25,2,10,0,9
327,80,2,EphesosB,12,27,-4,4,0,6,10,4
327,80,1,RhodosA,5,19,16,0,1,0,3,1
184,20,0,RhodosB,21,0,17,5,8,8,3,7
184,20,1,AlexandriaA,1,22,1,8,0,8,0,0
184,20,2,GizahB,6,20,0,0,0,6,0,2
104,20,0,AlexandriaA,15,9,8,10,0,6,3,5
104,20,1,GizahB,9,25,-5,8,0,0,8,3
104,20,2,RhodosA,2,10,15,2,1,0,3,0
161,20,0,GizahA,7,13,8,10,1,0,3,2
161,20,1,RhodosA,0,25,-4,13,0,0,0,0
161,20,2,AlexandriaB,4,11,8,1,5,0,7,1
113,20,1,GizahB,20,23,9,0,0,6,8,6
113,20,2,AlexandriaA,3,13,3,18,0,0,10,1
113,20,0,RhodosB,0,7,4,21,4,0,3,0
177,20,2,GizahA,1,23,7,10,0,5,8,0
177,20,1,EphesosA,11,11,13,13,3,0,3,3
177,20,0,AlexandriaA,22,8,-4,1,4,20,3,7
185,20,0,EphesosB,13,14,18,5,7,0,0,4
185,20,1,AlexandriaA,8,12,-3,5,0,11,10,2
185,20,2,GizahB,4,21,-3,9,0,0,8,1
178,20,0,RhodosA,13,20,7,1,3,5,10,4
178,20,1,GizahB,5,11,-3,9,2,8,13,1
178,20,2,EphesosB,29,10,14,1,0,0,5,9
152,20,0,AlexandriaA,9,12,18,1,3,13,0,3
152,20,1,RhodosA,17,20,5,13,1,0,3,5
152,20,2,EphesosB,10,23,-5,5,0,0,10,3
186,20,1,GizahB,6,8,14,1,3,6,20,2
186,20,2,RhodosA,11,33,2,2,0,5,3,3
186,20,0,EphesosB,9,14,2,10,2,6,5,3
242,40,0,RhodosB,13,0,16,26,2,12,3,4
242,40,1,GizahB,7,12,6,2,0,0,20,2
